,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_depth,param_splitter,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0,0.27982910474141437,0.00419370693074052,0.02355790138244629,0.0006425361096571025,gini,1,best,"{'criterion': 'gini', 'max_depth': 1, 'splitter': 'best'}",0.22512994945744605,0.22592441772263078,0.2263764517069159,0.22581027296233092,0.0005152434597425968,37
1,0.16667866706848145,0.004441893902120484,0.022231260935465496,0.00024409097528424562,gini,1,random,"{'criterion': 'gini', 'max_depth': 1, 'splitter': 'random'}",0.21300931803482884,0.22570484106642394,0.22551011853194453,0.22140809254439908,0.005939362432860615,40
2,0.48061513900756836,0.017413905184680886,0.02506868044535319,0.0005960900078856776,gini,2,best,"{'criterion': 'gini', 'max_depth': 2, 'splitter': 'best'}",0.24143850655935356,0.24265615892559145,0.23321130145599867,0.23910198898031454,0.004194903173542814,33
3,0.2650157610575358,0.005881251803003809,0.02755125363667806,0.0007224192931481908,gini,2,random,"{'criterion': 'gini', 'max_depth': 2, 'splitter': 'random'}",0.2390032018268778,0.23914293242628212,0.2282688108080054,0.23547164835372178,0.00509349471990751,36
4,0.673253615697225,0.019271417073221265,0.02968009312947591,0.003935190744184867,gini,3,best,"{'criterion': 'gini', 'max_depth': 3, 'splitter': 'best'}",0.24979838870657373,0.2616116128105013,0.24631409168759308,0.2525746977348894,0.006546472688503647,29
5,0.33826208114624023,0.015533871402554087,0.026707172393798828,0.0007161676898000944,gini,3,random,"{'criterion': 'gini', 'max_depth': 3, 'splitter': 'random'}",0.25194225533172043,0.2469438921758849,0.24700077051752428,0.24862897267504316,0.002342959703553821,32
6,0.8321005503336588,0.0017441693657618753,0.028980811436971027,0.0008099228117951883,gini,4,best,"{'criterion': 'gini', 'max_depth': 4, 'splitter': 'best'}",0.2638752485208518,0.26922094202377816,0.24557551271353914,0.2595572344193897,0.0101245745968805,25
7,0.4266732533772786,0.005915913999320691,0.0303652286529541,0.0003426947302343868,gini,4,random,"{'criterion': 'gini', 'max_depth': 4, 'splitter': 'random'}",0.262949034261943,0.2600146916744517,0.25302517955453707,0.25866296849697723,0.004162618544843846,26
8,1.0378870169321697,0.018331338252222364,0.03159372011820475,0.001063600866442094,gini,5,best,"{'criterion': 'gini', 'max_depth': 5, 'splitter': 'best'}",0.27452272019546314,0.2838567242356736,0.2679404825116476,0.27543997564759476,0.006530069209830039,21
9,0.5485719045003256,0.012569796090465003,0.031774679819742836,0.0004144564570632477,gini,5,random,"{'criterion': 'gini', 'max_depth': 5, 'splitter': 'random'}",0.2704146405729753,0.2796528293450228,0.26883476191806965,0.2729674106120226,0.004771102029770417,23
10,1.1877065499623616,0.013381895110057739,0.03360629081726074,0.0003679646099583847,gini,6,best,"{'criterion': 'gini', 'max_depth': 6, 'splitter': 'best'}",0.28219592625418194,0.31067701471562825,0.2780490336592396,0.2903073248763499,0.014502698085983763,17
11,0.633273204167684,0.011257140824199546,0.03491051991780599,0.0009443231990456584,gini,6,random,"{'criterion': 'gini', 'max_depth': 6, 'splitter': 'random'}",0.28827620347969113,0.2959773556582908,0.28005317768613186,0.28810224560803793,0.0065021820454408815,19
12,1.382963498433431,0.023335391072668132,0.037121216456095375,0.0010059640614317677,gini,7,best,"{'criterion': 'gini', 'max_depth': 7, 'splitter': 'best'}",0.3088804784375724,0.33990466380817785,0.30179534575476785,0.31686016266683936,0.016549653589991938,12
13,0.7228564421335856,0.027860466363575864,0.03722294171651205,0.0013391914969910477,gini,7,random,"{'criterion': 'gini', 'max_depth': 7, 'splitter': 'random'}",0.29095903098825465,0.31530409370733226,0.288165569444389,0.29814289804665867,0.012188268518735727,16
14,1.547852913538615,0.01580518895224737,0.039807399113972984,0.003165024638399163,gini,8,best,"{'criterion': 'gini', 'max_depth': 8, 'splitter': 'best'}",0.3403797478461526,0.36920816665468975,0.32770948694711377,0.34576580048265204,0.01736456692271845,8
15,0.9038376808166504,0.06888112346231502,0.039702415466308594,0.0002368542691988498,gini,8,random,"{'criterion': 'gini', 'max_depth': 8, 'splitter': 'random'}",0.3083894251882371,0.3221229469582645,0.3190701091100722,0.3165274937521913,0.005887901419892219,13
16,1.7208523750305176,0.06815242337318886,0.040741682052612305,0.0009346488369400002,gini,9,best,"{'criterion': 'gini', 'max_depth': 9, 'splitter': 'best'}",0.37185506343769215,0.39542561940578563,0.36479014376339924,0.37735694220229227,0.013097992070392096,3
17,0.8698751926422119,0.01965007406803808,0.0402986208597819,0.0016689862098026018,gini,9,random,"{'criterion': 'gini', 'max_depth': 9, 'splitter': 'random'}",0.3579618495540598,0.33170048147172254,0.358602049656461,0.34942146022741444,0.012533349647707678,7
18,1.7997294267018635,0.023002354670068354,0.043701489766438804,0.0011921495477142472,gini,10,best,"{'criterion': 'gini', 'max_depth': 10, 'splitter': 'best'}",0.4035699171996391,0.4286575482469798,0.39614581545107214,0.40945776029923037,0.013910504774502333,1
19,0.9892075061798096,0.037056600514037745,0.04446276028951009,0.001895593863161171,gini,10,random,"{'criterion': 'gini', 'max_depth': 10, 'splitter': 'random'}",0.3649004718901957,0.360121685390567,0.3960460074816054,0.37368938825412273,0.015928444526783846,4
20,0.2791132926940918,0.0008960420046281355,0.02274187405904134,0.0002654319036889422,entropy,1,best,"{'criterion': 'entropy', 'max_depth': 1, 'splitter': 'best'}",0.22512994945744605,0.22592441772263078,0.2263764517069159,0.22581027296233092,0.0005152434597425968,37
